epoch,g_loss,d_loss,epoch_sec,g_lr,d_lr
1,1.1599736803192544,0.907970142484365,7.815382480621338,0.001,0.0005
2,1.1499412251020045,0.983793091675917,5.338952541351318,0.001,0.0005
3,1.1599009823755546,1.0046210075972066,5.331689834594727,0.001,0.0005
4,1.1481159591478665,1.0335506375681547,5.333440065383911,0.001,0.0005
5,1.157352739757768,1.0354768895906765,5.602888345718384,0.001,0.0005
6,1.1941312427276667,1.0310788496211851,5.196781158447266,0.001,0.0005
7,1.1745067191952108,1.0395595661791848,5.375581979751587,0.001,0.0005
8,1.204167176753119,1.0332613899023484,5.592003107070923,0.001,0.0005
9,1.2571718486832961,1.0120315167651097,5.583244800567627,0.001,0.0005
10,1.2458828929573351,1.02152373449676,5.605433464050293,0.001,0.0005
11,1.2194397907697305,1.0478185753608753,5.513389825820923,0.001,0.0005
12,1.213876810163205,1.063201281172266,5.641332626342773,0.001,0.0005
13,1.2169952845333698,1.050138587598609,5.660073518753052,0.001,0.0005
14,1.2539018957553878,1.0278957444200567,5.605294466018677,0.001,0.0005
